"Time Period","National Great Britain","National England and Wales","National Scotland","Sector London and South East","Sector Long Distance","Sector Regional and Scotland","Franchised Avanti West Coast","Franchised c2c","Franchised Caledonian Sleeper","Franchised Chiltern Railways","Franchised CrossCountry","Franchised East Midlands Railway","Franchised Elizabeth line","Franchised Govia Thameslink Railway","Franchised Great Western Railway","Franchised Greater Anglia","Franchised London North Eastern Railway","Franchised London Overground","Franchised Merseyrail","Franchised Northern Trains","Franchised ScotRail","Franchised South Western Railway","Franchised Southeastern","Franchised TfW Rail","Franchised TransPennine Express","Franchised West Midlands Trains","Non-Franchised Grand Central","Non-Franchised Heathrow Express","Non-Franchised Hull Trains","Non-Franchised Lumo"
"Apr 2023 to Mar 2024 (Period 11)","4.93","5.02","4.11","4.41","9.65","4.76","14.99","3.13","11.54","5.64","10.25","5.17","4.71","5.06","6.21","2.72","10.26","3.89","6.89","5.06","4.08","4.98","3.57","5.06","7.59","3.95","16.15","3.87","5.68","9.51"
"Apr 2023 to Mar 2024 (Period 12)","4.62","4.92","1.91","4.36","9.61","4.00","16.22","1.26","7.23","5.11","15.24","4.90","3.75","5.93","5.61","2.88","7.00","3.29","5.16","4.82","1.90","4.27","4.10","5.62","3.73","4.70","10.98","2.72","5.28","4.36"
"Apr 2023 to Mar 2024 (Period 13)","4.19","4.45","1.80","4.19","7.57","3.49","12.20","2.01","4.94","2.50","6.93","3.79","3.83","5.59","6.29","2.42","7.96","4.02","3.79","4.16","1.79","5.08","2.57","3.78","3.78","4.10","8.82","4.19","4.91","5.72"
"Apr 2024 to Mar 2025 (Period 01)","4.52","4.75","2.47","4.53","7.55","3.90","14.32","4.24","5.10","1.36","9.19","3.89","2.11","6.47","4.74","3.15","5.43","5.25","4.29","4.03","2.47","5.93","2.42","5.28","4.56","5.22","4.49","2.16","1.66","10.22"
"Apr 2024 to Mar 2025 (Period 02)","4.57","4.86","2.01","3.88","8.94","4.74","13.31","0.89","9.32","1.96","11.90","3.81","3.07","6.09","5.61","1.34","9.50","4.27","5.63","6.45","1.99","4.09","2.18","5.19","5.78","5.68","11.09","4.27","6.30","11.11"
"Apr 2024 to Mar 2025 (Period 03)","5.28","5.61","2.25","4.74","9.23","5.30","17.23","2.16","16.56","2.96","9.81","5.25","4.94","7.57","5.39","1.98","9.20","4.61","4.30","7.43","2.21","4.01","2.79","7.59","4.69","6.41","6.52","2.01","5.87","8.10"
"Apr 2024 to Mar 2025 (Period 04)","6.04","6.27","3.68","5.21","10.91","6.33","14.57","3.35","0.60","1.91","13.48","6.55","5.53","7.21","7.68","1.87","11.84","5.35","4.97","8.52","3.69","4.44","3.93","7.80","6.17","6.26","10.51","8.32","7.73","9.89"
"Apr 2024 to Mar 2025 (Period 05)","5.70","5.97","2.27","5.11","8.90","5.94","12.57","1.81","2.98","3.87","9.41","5.46","7.01","7.40","6.02","1.96","12.58","3.84","6.41","6.90","2.26","5.41","3.64","6.92","6.50","7.53","11.05","5.02","11.50","7.83"
"Apr 2024 to Mar 2025 (Period 06)","5.72","6.02","1.97","4.89","9.60","6.24","12.08","1.15","4.17","2.51","9.13","6.78","4.95","7.16","6.31","2.48","9.48","3.98","3.77","8.67","1.96","5.50","3.62","8.47","7.82","7.00","12.03","3.08","5.74","8.00"
"Apr 2024 to Mar 2025 (Period 07)","6.35","6.73","1.95","5.98","9.94","6.18","12.06","2.12","7.14","7.81","9.93","5.93","4.14","9.26","6.68","3.76","9.70","5.26","3.29","8.48","1.93","6.59","4.07","7.35","6.79","8.12","13.58","4.94","8.06","11.32"
